 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
24816FermeNAAval?5887824532830	10/12/1967	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
25602Ferme1Bassinincendie5886504533117	03/02/1970	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	17
25607Ferme1SS1Avalbassinincendie5886924533077	08/02/1970	Ferme	NA	11	0	NA	NA	NA	NA	NA	NA	NA
25660StuderNADeversoirLac1aval(300m)5732044542116	02/04/1970	Studer	2072	NA	NA	NA	NA	NA	NA	NA	NA	11
25660StuderNADeversoirLac1aval.facecabane-(70m)5732044542116	02/04/1970	Studer	483	NA	NA	NA	NA	NA	NA	NA	NA	6
25681Ferme1Del'estuaireaubassinincendieinclus5887244532981	23/04/1970	Ferme	NA	8	3	NA	NA	NA	NA	NA	NA	NA
25681Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	23/04/1970	Ferme	NA	25	10	NA	NA	NA	NA	NA	NA	NA
25682Ferme2Bacprised'eau5885914533182	24/04/1970	Ferme	NA	25	11	NA	NA	NA	NA	NA	NA	NA
25693ChateauNADerrierehallfusee5923994533706	05/05/1970	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
25775StuderNADeversoirLac1."troudesombles"5732044542116	26/07/1970	Studer	NA	57	31	NA	NA	NA	NA	NA	NA	NA
25776StuderNADeversoirLac1aval.facecabane5732044542116	27/07/1970	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
25848Ferme1Del'estuaireaubassinincendieinclus5887244532981	07/10/1970	Ferme	NA	18	8	NA	NA	NA	NA	NA	NA	NA
25848Ferme3Del'amontdubarragejusqu'auxetangs"Collets"5884874533400	07/10/1970	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
25851Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	10/10/1970	Ferme	NA	63	24	NA	NA	NA	NA	NA	NA	NA
25879FermeNABassinincendie(vidange)5886504533117	07/11/1970	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
25924FermeNAAvalbarrage5885914533182	22/12/1970	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	29
25941ChateauNAPetitbrasaval.niveauhallfusee5927104533533	08/01/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
25948Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	15/01/1971	Ferme	NA	42	8	NA	NA	NA	NA	NA	NA	NA
25974StuderNADeversoirlac1.depuisLac2>grandtrou5732044542116	10/02/1971	Studer	NA	118	22	NA	NA	NA	NA	NA	NA	NA
26009StuderNADeversoirLac1aval5732044542116	17/03/1971	Studer	NA	NA	NA	NA	NA	NA	115	90	NA	NA
26016Chateau1Petitbrasrivedroiteenavalhallfusee5933084533661	24/03/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
26017Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	25/03/1971	Ferme	NA	NA	NA	NA	NA	NA	44	42	NA	NA
26017FermeNABassinincendie5886504533117	25/03/1971	Ferme	NA	NA	NA	NA	NA	NA	12	19	NA	NA
26031ChateauNAFacehallfusee5932694533736	08/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26033Chateau1'Secteurparalleleaupetitbrasmortniveauhallfusee.grandvirage5932694533736	10/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
26033Chateau4Secteur45944894533905	10/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
26036Chateau2Amontbrasmortrivedroite5942554533810	13/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26036Chateau3Avalbrasmortrivedroite(pool)5946264533796	13/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
26038Chateau2et3Rivedroite.(2)5942554533810	15/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26038Chateau2Poolrivedroite.entrelecoudeetlabase5942554533810	15/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26038Chateau3Avalbrasmortrivedroite(pool)5946264533796	15/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26045ChateauNADeversoiretang15942034533363	22/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26045ChateauNAEntreeetang15942034533363	22/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26078ChateauNASortieetangsamontlimnigraphe5942554533810	25/05/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26081ChateauNABrasmort.niveauhallfusee5927104533533	28/05/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26127Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	13/07/1971	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	23
26127FermeNABassinincendie5886504533117	13/07/1971	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26129FermeNAAvalbassinincendie5886924533077	15/07/1971	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
26135StuderNADeversoirLac1.grandtrou5732044542116	21/07/1971	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26135StuderNADeversoirLac1aval5732044542116	21/07/1971	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26150Chateau3Virageauniveaududeversoiretangs5946304533804	05/08/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
