XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
Ferme1SS1Avalbassinincendie5886924533077	08/02/1970	Ferme	NA	11	7	NA	NA	NA	NA	NA	NA	NA
StuderNADeversoirLac1aval(300m)5732044542116	02/04/1970	Studer	2072	NA	NA	NA	NA	NA	NA	NA	NA	5
StuderNADeversoirLac1aval.facecabane-(70m)5732044542116	02/04/1970	Studer	483	NA	NA	NA	NA	NA	NA	NA	NA	4
Ferme1Del'estuaireaubassinincendieinclus5887244532981	23/04/1970	Ferme	NA	3	0	NA	NA	NA	NA	NA	NA	NA
Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	23/04/1970	Ferme	NA	10	3	NA	NA	NA	NA	NA	NA	NA
ChateauNADerrierehallfusee5923994533706	05/05/1970	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	10/10/1970	Ferme	NA	3	1	NA	NA	NA	NA	NA	NA	NA
ChateauNABrasmort.niveauhallfusee5927104533533	07/01/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChateauNABrasmort.niveauhallfusee5927104533533	08/01/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
ChateauNAPetitbrasaval.niveauhallfusee5927104533533	08/01/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	15/01/1971	Ferme	NA	4	2	NA	NA	NA	NA	NA	NA	NA
StuderNADeversoirlac1.depuisLac2>grandtrou5732044542116	10/02/1971	Studer	NA	8	5	NA	NA	NA	NA	NA	NA	NA
StuderNADeversoirLac1aval5732044542116	17/03/1971	Studer	NA	NA	NA	NA	NA	NA	18	11	NA	NA
Chateau1Petitbrasrivedroiteenavalhallfusee5933084533661	24/03/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	25/03/1971	Ferme	NA	NA	NA	NA	NA	NA	5	1	NA	NA
Chateau4Secteur45944894533905	10/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
Chateau2Amontbrasmortrivedroite5942554533810	13/04/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChateauNABrasmort.niveauhallfusee5927104533533	28/05/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Chateau1Brasmort.niveauhallfusee5932954533662	28/07/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	19
ChateauNATroudes2îles5946534533830	05/08/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	12
ChateauNACabanedulimnigraphe(Marius)5954534534158	17/08/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Chateau7Grandvirageaval5955124533410	18/08/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChateauNAAvaldubrasmortniveauhall-fusee5928534533551	20/10/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	45
Chateau1Pool15933084533661	01/12/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	28
ChateauNABrasmort.niveauhallfusee5927104533533	22/12/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	23
Chateau1Petitbrasmortniveauhallfusee5927104533533	27/01/1972	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	23
Norvegienne1Aval5972594533530	14/03/1972	Norvegienne	NA	NA	NA	NA	NA	NA	18	16	NA	NA
Norvegienne2Amont5969784534524	16/03/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	49
ChateauNAPetitbrasmortniveauhallfusee5927104533533	22/03/1972	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	33
Norvegienne1Aval5972594533530	07/04/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
StuderNADeversoirLac15732044542116	10/05/1972	Studer	NA	5	11	NA	NA	NA	NA	NA	NA	NA
Norvegienne2Amont5969784534524	24/05/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
ChateauNA2kmenavalduhallfusee5946534533832	30/05/1972	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
FermeNAAval?5887824532830	18/07/1972	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	25
Norvegienne2Amont5969784534524	18/08/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	27
Norvegienne1Aval5972594533530	21/09/1972	Norvegienne	NA	NA	NA	NA	NA	NA	9	1	NA	NA
Norvegienne1Aval5972594533530	06/11/1972	Norvegienne	NA	NA	NA	NA	NA	NA	6	4	NA	NA
Norvegienne2Amont5972884534173	08/11/1972	Norvegienne	NA	NA	NA	NA	NA	NA	81	73	NA	NA
Norvegienne1Aval5972594533530	19/12/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	15
Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	20/12/1972	Norvegienne	750	NA	NA	NA	NA	NA	NA	NA	NA	12
Norvegienne3SS3(amontdusecteur).1kmenamontdusecteur:80mdansunpool+courant5969784534524	06/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Norvegienne3SS3(amontdusecteur).500menamontdusecteur5969784534524	06/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Norvegienne3SS3(amontdusecteur).50menamontdusecteur5969784534524	06/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
Norvegienne1Aval5972594533530	18/01/1973	Norvegienne	NA	25	13	3	NA	NA	NA	NA	NA	NA
Norvegienne1Aval5972594533530	21/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Norvegienne2Amont5969784534524	21/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	106	84	NA	NA
StuderNADeversoirLac15732044542116	26/02/1973	Studer	NA	NA	NA	NA	NA	NA	28	0	NA	NA
ChateauNARuisseauducoude5959944534131	11/03/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChateauNARuisseauducoude5959944534131	12/03/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
Norvegienne2Amont5969784534524	16/03/1973	Norvegienne	NA	NA	NA	NA	NA	NA	50	56	NA	NA
NorvegienneP2Pool25973134533662	17/03/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	1
Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	18/03/1973	Norvegienne	750	NA	NA	NA	NA	NA	NA	NA	NA	6
NorvegienneNAAmontsecteurd'etude.aenviron1kmlimitesecteur25969784534524	19/03/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Studer1DeversoirLac1.sous-secteur1(delalimiteavalau+grandpoolinclus)5729794542417	09/06/1973	Studer	1335	NA	NA	NA	NA	NA	8	6	NA	NA
StuderSS2DeversoirLac1.sous-secteur2(dugrandpoolnoninclualazonecalmeamont)5732884542043	10/06/1973	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
Ferme1et2Del'estuaireaubarrage5886644533107	18/07/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	25
ChateauNAAval?5964024532499	22/07/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NorvegienneP6+7Pools6et7.exPools5-65973224534096	26/07/1973	Norvegienne	292	NA	NA	NA	NA	NA	2	0	NA	NA
NorvegienneP8Pool8.exPool75972574534387	26/07/1973	Norvegienne	418	NA	NA	NA	NA	NA	14	0	NA	NA
NorvegienneP13Pool13.exPool125970904534765	27/07/1973	Norvegienne	223	NA	NA	NA	NA	NA	0	1	NA	NA
NorvegienneP6+7Pools6et7.exPoolsetcourants5et65973224534096	04/09/1973	Norvegienne	292	NA	NA	NA	NA	NA	NA	NA	NA	2
NorvegienneP8Pool8.exPool75972574534387	04/09/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	8
ChateauNAEntreconfluentrivieredesMorainesetamontpoolhallfusee5915224534219	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	31
NorvegienneNARapidesentrePools8et9.exPools7et85972574534387	04/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Norvegienne2AmontetPool7.exPool65972874534181	05/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Norvegienne2Pool8.exPool7.etpetitscourantsaval5972574534387	05/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
NorvegienneNACourantsetgodonsaudessusdupool35973494533786	05/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NorvegienneP1+2Pools1et25974824533590	05/10/1973	Norvegienne	244	NA	NA	NA	NA	NA	NA	NA	NA	1
Norvegienne2Secteur2(amont)5969784534524	07/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	07/10/1973	Norvegienne	750	8	1	NA	NA	NA	NA	NA	NA	NA
NorvegienneNABrasmort.prolongementsecteur25972954534140	07/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Norvegienne2SS23Ruisseaurivedroite.amontpool85972214534545	31/10/1973	Norvegienne	1520	NA	NA	NA	NA	NA	NA	NA	NA	5
Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	31/10/1973	Norvegienne	750	8	4	NA	NA	NA	NA	NA	NA	NA
ChateauNAAval?5964024532499	28/11/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChateauNAGrandcoudeaval5955134533372	28/11/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
ChateauNARapideaval5940604533831	28/11/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
ChateauNARuisseaurivegauche5959944534131	28/11/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	19
Norvegienne1Secteur1(aval)5971604533755	29/11/1973	Norvegienne	NA	NA	NA	NA	NA	NA	4	3	3	NA
Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	29/11/1973	Norvegienne	750	NA	NA	NA	NA	NA	11	4	NA	NA
Norvegienne2SS23Ruisseaurivedroite.amontpool85972214534545	30/11/1973	Norvegienne	1520	NA	NA	NA	NA	NA	3	4	NA	NA
Norvegienne2Secteur2(amont)5969784534524	01/12/1973	Norvegienne	NA	NA	NA	NA	NA	NA	1	2	NA	NA
NorvegienneP11Pool11.exPool105971924534609	01/12/1973	Norvegienne	35	NA	NA	NA	NA	NA	NA	NA	NA	3
NorvegienneNAAvalsecteur15972594533530	02/12/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Norvegienne1Secteur1(aval)5971604533755	23/12/1973	Norvegienne	NA	NA	NA	NA	NA	NA	4	3	NA	NA
Norvegienne2Secteur2(aval)5972954534140	23/12/1973	Norvegienne	NA	NA	NA	NA	NA	NA	11	7	NA	NA
Norvegienne2SS23Ruisseaurivedroite.amontpool85972214534545	23/12/1973	Norvegienne	1520	NA	NA	NA	NA	NA	2	1	NA	NA
NorvegienneNAAvalsecteur15972594533530	23/12/1973	Norvegienne	NA	NA	NA	NA	NA	NA	5	2	NA	NA
Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	24/12/1973	Norvegienne	750	2	1	NA	NA	NA	NA	NA	NA	NA
StuderNADeversoirLac15732044542116	27/01/1974	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
FermeNAAval?5887824532830	06/02/1974	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	21
Norvegienne1Secteur1(aval)5971604533755	15/02/1974	Norvegienne	NA	NA	NA	NA	NA	NA	14	11	NA	NA
Norvegienne2Secteur2(amont)5969784534524	15/02/1974	Norvegienne	NA	NA	NA	NA	NA	NA	39	34	NA	NA
Norvegienne2SS23Ruisseaurivedroite.amontpool85972214534545	15/02/1974	Norvegienne	1520	NA	NA	NA	NA	NA	NA	NA	NA	2
NorvegienneNAAvalsecteur1(depuispooln°0)5972594533530	17/02/1974	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NorvegienneP9+10Pools9et10.exPools8et9.courantsadjacents5973134534572	17/02/1974	Norvegienne	358	NA	NA	NA	NA	NA	NA	NA	NA	6
NorvegienneNARifflesau-dessusPool11.exPool105971924534609	18/02/1974	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
FermeNAAval?5887824532830	22/02/1974	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
StuderNADeversoirLac15732044542116	28/02/1974	Studer	NA	17	12	NA	NA	NA	NA	NA	NA	NA
StuderNADeversoirLac1.amontsecteurd'etude5732044542116	01/03/1974	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	20
NorvegienneP1Pool15974824533590	09/04/1974	Norvegienne	151	NA	NA	NA	NA	NA	NA	NA	NA	1
NorvegienneP3Pool35973494533786	09/04/1974	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	4
NorvegienneP4Pool45972624533865	09/04/1974	Norvegienne	86	NA	NA	NA	NA	NA	NA	NA	NA	3
StuderNA?5634374548410	12/02/1975	Studer	NA	43	0	NA	NA	NA	NA	NA	NA	NA
StuderNADeversoirLac15732044542116	15/02/1975	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
StuderAf3Affluent3rivegaucheLac2jusqu'autroua~30mdulac5726474542540	16/02/1975	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
