site	XYZ	date	basin	area	estArea	comment	DL1	DL2	DL3	DL4	NA.	P1	P2	P3	PE
Acaena1Secteur15678914504852	31115Acaena1Secteur15678914504852	09/03/1985	Acaena	NA	900	60_long_per_15_wide_-_from_schema. 	NA	NA	NA	NA	NA	NA	NA	NA	3
Acaena1Stationpremierpoolamontcabane5678084504755	37681Acaena1Stationpremierpoolamontcabane5678084504755	01/03/2003	Acaena	314.8	350	35_long_per_10_wide 	38	13	NA	NA	NA	NA	NA	NA	NA
Acaena2Pool4.station2portionderapideenamontdelastation1auniveaudelagrandemoraineperpendiculairealavalleerivedroite5677874504698	37681Acaena2Pool4.station2portionderapideenamontdelastation1auniveaudelagrandemoraineperpendiculairealavalleerivedroite5677874504698	01/03/2003	Acaena	145.5	400	50_long_per_8_wide	13	3	NA	NA	NA	NA	NA	NA	NA
Acaena3Stationpremierplatenamontdelamarqueorange(5082mautopofil)5676554501783	37682Acaena3Stationpremierplatenamontdelamarqueorange(5082mautopofil)5676554501783	02/03/2003	Acaena	298.6	540	90_long_per_6_wide	58	7	NA	NA	NA	NA	NA	NA	NA
Acaena8430menamontdupool7.secteur8surfeuillesdepeche5679544503517	32984Acaena8430menamontdupool7.secteur8surfeuillesdepeche5679544503517	21/04/1990	Acaena	NA	1200	80_by_15	NA	NA	NA	NA	NA	NA	NA	NA	14
AcaenaNA1400mamontmoraine(pechesur30m)5680644503134	29652AcaenaNA1400mamontmoraine(pechesur30m)5680644503134	07/03/1981	Acaena	NA	240	30_by_8	NA	NA	NA	NA	NA	NA	NA	NA	2
AcaenaNA1erpoolau5evirage5678674504821	30366AcaenaNA1erpoolau5evirage5678674504821	19/02/1983	Acaena	NA	840	70_per_12	NA	NA	NA	NA	NA	NA	NA	NA	10
AcaenaNA500mdelamer5680014505418	32733AcaenaNA500mdelamer5680014505418	13/08/1989	Acaena	NA	NA	winter_fishing_with_ice_everywhere.	NA	NA	NA	NA	NA	NA	NA	NA	1
AcaenaNA560menamontdupool7.secteur7surfeuillesdepeche5680274503395	32984AcaenaNA560menamontdupool7.secteur7surfeuillesdepeche5680274503395	21/04/1990	Acaena	NA	500	50_per_10	NA	NA	NA	NA	NA	NA	NA	NA	7
AcaenaNA900mamontmoraine(radierprofond.pechesur20m)5679084503590	29652AcaenaNA900mamontmoraine(radierprofond.pechesur20m)5679084503590	07/03/1981	Acaena	NA	180	20_per_9	NA	NA	NA	NA	NA	NA	NA	NA	1
