Secteur	Date	DL1	DL2	Age	Espece	Surface	Hab
1	02/02/1991	12	3	0	ST	1335	0
1	07/02/1981	3	0	0	ST	1335	0
1	07/02/1990	50	49	0	ST	1335	0
1	09/02/1978	0	1	0	ST	1335	0
1	09/03/1980	6	11	0	ST	1335	0
1	10/02/1982	27	31	0	ST	1335	0
1	10/04/1978	25	6	0	ST	1335	0
1	11/02/1986	19	14	0	ST	1335	0
1	16/02/1989	13	10	0	ST	1335	0
1	17/02/1993	28	23	0	ST	1335	0
1	23/03/1981	36	18	0	ST	1335	0
1	02/02/1991	57	29	1	ST	1335	0
1	07/02/1981	2	0	1	ST	1335	0
1	07/02/1990	19	8	1	ST	1335	0
1	09/02/1978	31	18	1	ST	1335	0
1	09/03/1980	31	4	1	ST	1335	0
1	10/02/1982	23	15	1	ST	1335	0
1	11/02/1986	26	2	1	ST	1335	0
1	13/01/1985	11	6	1	ST	1335	0
1	16/01/1992	53	19	1	ST	1335	0
1	16/02/1989	30	16	1	ST	1335	0
1	17/02/1993	36	12	1	ST	1335	0
1	23/03/1981	2	3	1	ST	1335	0
1	28/01/1988	33	16	1	ST	1335	0
1	07/02/1981	1	0	2	ST	1335	0
1	09/02/1978	1	0	2	ST	1335	0
1	09/03/1980	5	2	2	ST	1335	0
1	10/02/1982	1	0	2	ST	1335	0
1	11/02/1986	1	0	2	ST	1335	0
1	16/01/1992	2	0	2	ST	1335	0
1	16/02/1989	1	1	2	ST	1335	0
1	17/02/1993	1	1	2	ST	1335	0
1	23/03/1981	0	2	2	ST	1335	0
1	28/01/1988	1	0	2	ST	1335	0
1	02/02/1991	111	45	0	SF	1335	0
1	07/02/1981	20	15	0	SF	1335	0
1	07/02/1990	160	62	0	SF	1335	0
1	09/02/1978	341	173	0	SF	1335	0
1	09/03/1980	84	105	0	SF	1335	0
1	10/02/1982	8	1	0	SF	1335	0
1	11/02/1986	100	31	0	SF	1335	0
1	16/02/1989	77	46	0	SF	1335	0
1	17/02/1993	52	20	0	SF	1335	0
1	23/03/1981	110	54	0	SF	1335	0
1	02/02/1991	44	11	1	SF	1335	0
1	07/02/1981	9	2	1	SF	1335	0
1	07/02/1990	12	1	1	SF	1335	0
1	09/02/1978	137	11	1	SF	1335	0
1	09/03/1980	30	3	1	SF	1335	0
1	10/02/1982	38	3	1	SF	1335	0
1	11/02/1986	50	2	1	SF	1335	0
1	13/01/1985	93	13	1	SF	1335	0
1	16/02/1989	2	4	1	SF	1335	0
1	17/02/1993	10	3	1	SF	1335	0
1	23/03/1981	8	1	1	SF	1335	0
1	28/01/1988	19	1	1	SF	1335	0
1	02/02/1991	0	1	2	SF	1335	0
1	07/02/1990	1	1	2	SF	1335	0
1	09/02/1978	3	0	2	SF	1335	0
1	09/03/1980	1	0	2	SF	1335	0
1	10/02/1982	2	0	2	SF	1335	0
1	11/02/1986	1	0	2	SF	1335	0
1	13/01/1985	3	0	2	SF	1335	0
1	17/02/1993	1	0	2	SF	1335	0
1	28/01/1988	1	0	2	SF	1335	0
2	09/03/1980	1	0	0	ST	124	0
2	10/03/1980	0	6	0	ST	124	0
2	10/04/1978	3	3	0	ST	124	0
2	17/02/1993	0	1	0	ST	124	0
2	09/02/1978	13	2	1	ST	124	0
2	09/03/1980	5	0	1	ST	124	0
2	10/03/1980	3	2	1	ST	124	0
2	16/01/1992	6	1	1	ST	124	0
2	17/02/1993	1	0	1	ST	124	0
2	09/02/1978	4	3	2	ST	124	0
2	10/03/1980	1	0	2	ST	124	0
2	16/01/1992	1	0	2	ST	124	0
2	09/02/1978	68	58	0	SF	124	0
