"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Acaena",3.295,3.627,3.981,4.355,5.312,7.579,8.644,5.53,9.243,9.474,16.421,18.102,15.562,21.844,19.357,20.901,18.016,16.295,18.114,17.274,19.518,21.799,20.671,19.612,20.602,15.477,20.257,20.728,3.192,12.03,18.299,3.129,3.352,3.985,4.666,5.354,6.425,10.154,6.08,13.266,12.105,12.908,14.309,17.97,15.631,17.311,14.526,17.964,18.334,18.951,19.081,20.979,19.419,13.218,18.475,8.9,22.102,22.151,18.538,16.794,20.936,22.089,21.977,3.363
"Albatros",3.11,3.245,3.385,3.53,5.735,7.247,3.322,9.615,8.288,14.662,12.089,18.353,18.163,8.204,17.279,17.489,15.72,18.682,21.399,20.166,19.606,22.004,20.104,21.983,21.718,20.006,20.87,22.085,21.617,19.799,21.815,19.229,3.401,4.315,5.375,6.481,4.364,7.377,4.156,10.941,3.304,13.484,15.714,18.323,9.909,3.281,17.724,9.544,20.315,18.753,11.416,19.75,18.414,19.303,21.068,18.415,20.778,20.888,10.378,20.629,18.204,3.166,20.287,3.358
"Americains",3.321,3.794,4.269,4.769,6.383,6.12,6.508,10.002,10.871,12.4,16.17,13.768,16.08,16.384,12.15,18.18,19.302,18.763,21.74,19.507,19.959,19.566,3.235,22.072,20.415,20.759,21.874,20.66,16.972,22.034,19.59,20.558,3.333,3.972,4.632,5.537,5.928,7.893,7.21,10.393,8.574,13.076,11.2,14.837,5.448,13.06,17.756,16.85,18.92,16.814,18.412,17.539,19.667,21.872,23.078,19.872,21.728,21.827,19.206,21.978,20.651,18.099,14.639,3.335
"Armor",3.207,3.761,4.368,5.019,7.584,8.246,9.859,9.729,12.788,8.018,16.515,14.918,15.321,17.031,19.734,19.714,18.537,19.255,18.854,3.256,21.245,20.137,18.231,20.521,19.426,21.818,20.769,16.91,20.685,3.177,13.422,3.127,3.38,4.287,5.304,6.594,8.393,9.093,8.257,8.326,13.807,13.022,16.825,7.31,12.421,18.6,18.448,20.843,16.188,18.92,21.524,20.331,19.77,22.03,14.097,21.518,17.649,18.118,21.837,20.998,19.521,21.734,3.14,3.231
"Azorella",3.336,3.983,4.705,5.511,6.569,7.561,13.959,9.623,11.008,11.704,12.866,16.877,12.391,16.471,16.358,11.673,3.268,20.587,19.415,16.974,19.59,21.353,20.981,21.589,21.897,20.597,20.38,20.36,21.992,17.624,3.16,19.31,3.351,3.985,4.713,5.537,8.51,7.443,9.476,12.11,18.561,11.167,14.508,13.223,14.49,22.142,19.756,21.163,19.549,18.999,21.83,19.69,20.107,19.729,19.279,20.452,9.392,9.89,20.829,21.005,11.801,19.32,19.005,3.345
"Borgne",3.379,4.242,5.207,6.339,6.312,3.329,5.225,8.324,12.46,11.504,6.49,13.987,17.11,16.419,19.611,6.063,15.015,18.698,20.786,20.499,17.081,15.677,23.062,16.772,20.145,19.961,22.028,22.208,21.052,20.857,18.408,20.61,3.405,4.348,5.394,4.063,6.409,5.607,11.843,10.934,6.201,9.922,9.352,18.785,16.244,8.65,17.727,17.925,18.808,19.437,19.079,3.251,21.356,20.282,20.04,18.631,18.733,18.98,19.234,20.784,19.73,20.912,21.993,3.372
"Bungay",3.39,4.057,4.806,5.644,5.471,5.879,8.522,7.51,8.618,15.248,11.331,8.732,16.032,14.622,19.933,14.497,19.655,14.831,13.845,22.967,21.453,7.908,13.664,8.65,20.161,21.971,20.508,21.026,21.132,21.506,21.847,3.125,3.362,4.006,4.722,5.221,6.782,3.994,9.782,3.31,11.842,13.119,13.739,19.048,18.687,16.999,12.847,18.549,3.265,20.787,19.65,17.337,19.774,21.43,20.429,20.9,20.123,21.751,20.743,17.465,22.015,13.065,20.366,3.37
"Calcedoines",3.352,3.996,4.677,5.452,7.06,8.521,8.828,9.72,13.344,11.04,17.179,5.057,3.288,13.126,17.002,16.414,22.688,20.85,6.97,11.851,19.204,17.597,19.016,18.237,14.865,20.349,20.464,21.912,20.837,18.627,19.713,19.352,3.26,3.509,3.779,6.874,7.697,6.529,9.311,7.858,12.35,13.259,13.645,14.703,16.788,17.628,20.073,20.046,15.599,18.935,20.97,20.642,17.561,16.051,21.596,20.371,21.659,20.701,3.205,20.516,3.18,22.109,14.794,3.371
"Casque",3.332,3.997,4.738,4.869,6.558,11.96,8.602,11.411,11.227,15.021,17.414,10.897,11.603,16.628,8.626,17.711,9.998,18.187,16.386,19.202,21.481,19.218,19.942,19.753,19.859,20.328,16.284,18.725,17.732,20.755,13.613,20.657,3.402,3.969,4.563,6.958,6.462,7.36,7.549,12.544,11.992,14.772,17.38,15.82,16.077,17.112,16.927,12.24,19.919,15.439,14.334,23.005,21.547,8.156,20.227,3.222,20.587,19.064,21.506,21.094,17.495,3.164,3.135,3.314
"Cataractes",3.338,3.812,4.325,5.967,3.336,4.924,8.505,9.832,7.377,11.797,12.739,12.859,17.55,16.725,15.689,19.821,18.273,20.834,18.133,19.804,21.674,19.409,19.998,21.465,22.071,15.604,20.221,10.624,20.565,12.238,3.157,3.122,3.385,4.382,5.534,5.515,5.162,8.385,10.819,17.321,11.904,10.347,13.12,17.679,13.144,16.958,19.995,6.282,22.782,21.029,7.198,12.31,19.406,17.816,18.778,18.904,18.866,21.133,23.112,21.97,20.825,18.203,19.087,3.335
